# SYNTHETIC TEST DATA ONLY - NOT RESEARCH OR PATIENT DATA
GenericLaunchId,DrugId,StateId,Region,ApprovalQuarter,ObservationQuarter,IsEligible,PrescriptionCount,ReimbursementAmount,IsSuppressed,FrozenWeight
1,1,1,North,2025-Q1,2025-Q1,true,10,20,false,1
1,1,2,North,2025-Q1,2025-Q1,true,0,0,false,2
1,1,3,South,2025-Q1,2025-Q1,true,0,0,false,3
1,1,4,South,2025-Q1,2025-Q1,false,, ,false,4
1,1,1,North,2025-Q1,2025-Q2,true,12,24,false,1
1,1,2,North,2025-Q1,2025-Q2,true,20,40,false,2
1,1,3,South,2025-Q1,2025-Q2,true,,,true,3
1,1,1,North,2025-Q1,2026-Q1,true,15,30,false,1
2,2,1,North,2025-Q3,2025-Q3,true,8,16,false,1
2,2,2,North,2025-Q3,2025-Q4,true,9,18,false,2
# Launch 1 represents complete Q4 follow-up; launch 2 is deliberately right-censored.
